label,timestamp,status,b1_sec,b2_tps,b2_sec,b3_sec,b3_prompt_tokens,b4_reduction_pct,b4_second_sec,b5_min_free_mib,b6_tps,b6_sec,source
R2-A0,2026-05-19T04:58:47.209132+00:00,OK,0.602,70.95,7.216,7.414,24016,39.6,0.852,5476,73.08,28.024,R2-A0-20260519-045847.json
R2-A1,2026-05-19T05:04:41.657297+00:00,OK,0.49,85.01,6.023,6.957,24016,52.4,0.656,6390,,,R2-A1-20260519-050441.json
R2-A2,2026-05-19T05:09:32.878747+00:00,OK,0.766,47.49,10.782,7.452,24016,49.7,0.839,5848,46.35,44.189,R2-A2-20260519-050932.json
R2-A3,2026-05-19T05:15:13.375772+00:00,OK,0.773,47.25,10.837,6.989,24016,49.0,0.831,6242,,,R2-A3-20260519-051513.json
R2-A4,2026-05-19T05:20:39.980875+00:00,OK,0.433,80.17,6.387,7.047,24016,43.3,0.763,5426,82.95,24.691,R2-A4-20260519-052039.json
R2-A5,2026-05-19T05:26:28.640715+00:00,OK,0.464,75.02,6.825,6.548,24016,0.2,1.317,5526,,,R2-A5-20260519-052628.json
R2-B1,2026-05-19T05:31:53.001511+00:00,OK,0.488,70.94,7.217,7.215,24016,40.0,0.857,8706,,,R2-B1-20260519-053153.json
R2-B2,2026-05-19T05:37:18.250453+00:00,OK,0.507,72.35,7.077,7.413,24016,39.7,0.865,3844,,,R2-B2-20260519-053718.json
R2-B3,2026-05-19T05:42:43.935472+00:00,OK,0.496,67.78,7.554,7.289,24016,40.1,0.854,5488,,,R2-B3-20260519-054243.json
R2-B4,2026-05-19T05:48:10.508859+00:00,OK,0.453,73.6,6.956,7.244,24016,40.2,0.85,5460,,,R2-B4-20260519-054810.json
R2-B5,2026-05-19T05:53:35.278518+00:00,OK,0.449,70.41,7.272,7.268,24016,40.2,0.851,5454,,,R2-B5-20260519-055335.json
R2-C1,2026-05-19T05:59:00.467550+00:00,OK,0.577,69.97,7.317,7.53,24016,39.9,0.854,5476,,,R2-C1-20260519-055900.json
R2-C2,2026-05-19T06:04:26.607817+00:00,OK,0.492,76.32,6.709,6.676,24016,39.2,0.797,4450,,,R2-C2-20260519-060426.json
R2-C3,2026-05-19T06:09:50.690634+00:00,OK,0.475,72.26,7.085,6.631,24016,39.3,0.796,2782,,,R2-C3-20260519-060950.json
